CreatedTime                   Digest                                                                   LastUpdateTime                Name            Signed
----------------------------  -----------------------------------------------------------------------  ----------------------------  --------------  --------
2019-05-14T18:41:39.2457232Z  sha256:ea0bab570e25466c82cb30f92a368f081c20df8e92e9d1959fe0b6343a085b61  2019-05-14T18:41:39.2457232Z  4.0.0           False
2019-03-28T14:36:03.9804895Z  sha256:b3f495e2bc31a013d28a40cf1def3ae08a2c9794f1d34f99c19de4f6ac5e4322  2019-05-14T17:21:51.9709045Z  4.0.0-SNAPSHOT  False
2019-05-15T09:51:40.3062441Z  sha256:ea0bab570e25466c82cb30f92a368f081c20df8e92e9d1959fe0b6343a085b61  2019-05-15T09:51:40.3062441Z  4.0.1           False
2019-05-15T15:41:15.9180704Z  sha256:ea0bab570e25466c82cb30f92a368f081c20df8e92e9d1959fe0b6343a085b61  2019-02-15T15:41:15.9180704Z  4.0.2           False
2019-03-28T14:36:03.9804895Z  sha256:b3f495e2bc31a013d28a40cf1def3ae08a2c9794f1d34f99c19de4f6ac5e4322  2019-05-14T17:21:51.9709045Z  4.0.0-SNAPSHOT  False
2019-05-15T09:51:40.3062441Z  sha256:ea0bab570e25466c82cb30f92a368f081c20df8e92e9d1959fe0b6343a085b61  2019-02-15T09:51:40.3062441Z  4.0.1           False
2019-05-15T15:41:15.9180704Z  sha256:ea0bab570e25466c82cb30f92a368f081c20df8e92e9d1959fe0b6343a085b61  2019-02-15T15:41:15.9180704Z  4.0.2           False
2019-05-15T15:41:15.9180704Z  sha256:ea0bab570e25466c82cb30f92a368f081c20df8e92e9d1959fe0b6343a085b61  2019-03-15T15:41:15.9180704Z  4.0.2           False
2019-05-15T15:41:15.9180704Z  sha256:ea0bab570e25466c82cb30f92a368f081c20df8e92e9d1959fe0b6343a085b61  2019-03-15T15:41:15.9180704Z  4.0.2           False
2019-05-15T15:41:15.9180704Z  sha256:ea0bab570e25466c82cb30f92a368f081c20df8e92e9d1959fe0b6343a085b61  2019-03-15T15:41:15.9180704Z  4.0.2           False
2019-05-15T15:41:15.9180704Z  sha256:ea0bab570e25466c82cb30f92a368f081c20df8e92e9d1959fe0b6343a085b61  2019-03-15T15:41:15.9180704Z  4.0.2           False
2019-05-15T15:41:15.9180704Z  sha256:ea0bab570e25466c82cb30f92a368f081c20df8e92e9d1959fe0b6343a085b61  2019-03-15T15:41:15.9180704Z  4.0.2           False
2019-05-15T15:41:15.9180704Z  sha256:ea0bab570e25466c82cb30f92a368f081c20df8e92e9d1959fe0b6343a085b61  2019-03-15T15:41:15.9180704Z  4.0.2           False
2019-05-15T15:41:15.9180704Z  sha256:ea0bab570e25466c82cb30f92a368f081c20df8e92e9d1959fe0b6343a085b61  2019-03-15T15:41:15.9180704Z  4.0.2           False
2019-05-15T15:41:15.9180704Z  sha256:ea0bab570e25466c82cb30f92a368f081c20df8e92e9d1959fe0b6343a085b61  2019-01-15T15:41:15.9180704Z  4.0.2           False
2019-05-15T15:41:15.9180704Z  sha256:ea0bab570e25466c82cb30f92a368f081c20df8e92e9d1959fe0b6343a085b61  2018-03-15T15:41:15.9180704Z  4.0.2           False
2019-05-15T15:41:15.9180704Z  sha256:ea0bab570e25466c82cb30f92a368f081c20df8e92e9d1959fe0b6343a085b61  2019-03-15T15:41:15.9180704Z  4.0.2           False
2019-05-15T15:41:15.9180704Z  sha256:ea0bab570e25466c82cb30f92a368f081c20df8e92e9d1959fe0b6343a085b61  2019-02-15T15:41:15.9180704Z  4.0.2           False
